2016-05-10 10:40:57,094 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/shadoop/workspace/spatialhadoop/src/test/resources
2016-05-10 10:41:12,509 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:41:12,560 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 81 resources
2016-05-10 10:41:13,011 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:41:13,012 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/shadoop/workspace/spatialhadoop/src/test/resources
2016-05-10 10:42:28,181 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.umn.cs.spatialhadoop:example:0.0.1-SNAPSHOT @ /home/shadoop/workspace/example/pom.xml.
2016-05-10 10:42:28,785 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /example/src/main/java
2016-05-10 10:42:28,787 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /example/src/main/resources
2016-05-10 10:42:28,788 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /example/src/test/java
2016-05-10 10:42:28,788 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /example/src/test/resources
2016-05-10 10:42:30,239 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:42:30,248 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-10 10:42:30,257 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:42:30,257 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-10 10:42:35,752 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.umn.cs.spatialhadoop:spatialhadoop:2.4.1-SNAPSHOT @ /home/shadoop/workspace/spatialhadoop/pom.xml.
2016-05-10 10:42:37,445 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:42:37,448 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 81 resources
2016-05-10 10:42:37,464 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:42:37,465 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/shadoop/workspace/spatialhadoop/src/test/resources
2016-05-10 10:42:43,289 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:42:43,290 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 81 resources
2016-05-10 10:42:43,542 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:42:43,543 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/shadoop/workspace/spatialhadoop/src/test/resources
2016-05-10 10:43:44,256 [Worker-17] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not available. Remote download required.
2016-05-10 10:44:38,340 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.umn.cs.spatialhadoop:example:0.0.1-SNAPSHOT @ /home/shadoop/workspace/example/pom.xml.
2016-05-10 10:44:39,038 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/umn/cs/spatialhadoop/spatialhadoop/2.4/spatialhadoop-2.4.pom
2016-05-10 10:44:39,206 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/umn/cs/spatialhadoop/spatialhadoop/2.4/spatialhadoop-2.4.pom
2016-05-10 10:44:41,953 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/umn/cs/spatialhadoop/spatialhadoop/2.4/spatialhadoop-2.4.jar
2016-05-10 10:46:46,881 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/umn/cs/spatialhadoop/spatialhadoop/2.4/spatialhadoop-2.4.jar
2016-05-10 10:46:46,926 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/junit/junit/4.8.1/junit-4.8.1.jar
2016-05-10 10:46:47,015 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/junit/junit/4.8.1/junit-4.8.1.jar
2016-05-10 10:46:47,956 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:46:47,964 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-10 10:46:47,966 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:46:47,979 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-10 10:46:52,309 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:46:52,314 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-10 10:46:52,315 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-10 10:46:52,316 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-10 10:46:52,633 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
